Column,Count,Missing%,Mean,Median,Std,Min,Q1,Q3,Max,Skewness,Unique,N Outliers (3xIQR),Inferred Type
AL_214,752,74.34,0.547825,1.0,0.497949,0.0,0.0,1.0,1.0,-0.1927,4,0,"probability/score [0,1]"
AL_215,752,74.34,0.017661,0.000985,0.064704,2.1e-05,0.000143,0.009178,0.900214,8.4099,752,83,"probability/score [0,1]"
AL_216,752,74.34,0.99867,1.0,0.036466,0.0,1.0,1.0,1.0,-27.4226,2,1,"probability/score [0,1]"
AL_217,752,74.34,0.507895,1.0,0.499339,0.0,0.0,1.0,1.0,-0.0324,7,0,"probability/score [0,1]"
AL_218,1041,64.48,0.494837,0.0,0.499809,0.0,0.0,1.0,1.0,0.0205,4,0,"probability/score [0,1]"
AL_219,1041,64.48,0.011329,0.000265,0.042967,0.0,1e-06,0.005752,0.9,12.4092,1039,135,"probability/score [0,1]"
AL_220,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_221,1041,64.48,0.51873,1.0,0.498405,0.0,0.0,1.0,1.0,-0.0742,11,0,"probability/score [0,1]"
AL_222,1041,64.48,0.522149,1.0,0.499433,0.0,0.0,1.0,1.0,-0.0895,5,0,"probability/score [0,1]"
AL_223,1041,64.48,0.5064,1.0,0.500068,0.0,0.0,1.0,1.0,-0.0253,3,0,"probability/score [0,1]"
AL_224,1041,64.48,0.010841,0.000381,0.042346,0.0,2.7e-05,0.00551,0.896887,13.1358,1041,136,"probability/score [0,1]"
AL_225,1041,64.48,0.511164,1.0,0.499663,0.0,0.0,1.0,1.0,-0.045,5,0,"probability/score [0,1]"
AL_226,1041,64.48,0.012392,0.000363,0.045701,0.0,3e-06,0.005901,0.85633,11.1079,1041,146,"probability/score [0,1]"
AL_227,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_228,1041,64.48,0.513334,1.0,0.497713,0.0,0.0,1.0,1.0,-0.0507,16,0,"probability/score [0,1]"
AL_229,1041,64.48,0.511787,1.0,0.499626,0.0,0.0,1.0,1.0,-0.0466,5,0,"probability/score [0,1]"
AL_230,1041,64.48,0.00918,0.000307,0.040522,0.0,9e-06,0.004398,0.902772,15.3176,1041,124,"probability/score [0,1]"
AL_231,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_232,1041,64.48,0.489,0.0,0.499041,0.0,0.0,1.0,1.0,0.0443,8,0,"probability/score [0,1]"
AL_233,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_234,1041,64.48,0.529558,1.0,0.49822,0.0,0.0,1.0,1.0,-0.1187,8,0,"probability/score [0,1]"
AL_235,1041,64.48,0.011304,0.000294,0.043794,0.0,1e-06,0.005692,0.934464,13.2363,1041,138,"probability/score [0,1]"
AL_236,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_237,1041,64.48,0.510324,0.914937,0.496281,0.0,0.0,1.0,1.0,-0.0425,25,0,"probability/score [0,1]"
AL_238,1041,64.48,0.493301,0.0,0.498825,0.0,0.0,1.0,1.0,0.0276,10,0,"probability/score [0,1]"
AL_239,1041,64.48,0.01156,0.000169,0.043756,0.0,1e-06,0.006656,0.899847,12.8204,1041,126,"probability/score [0,1]"
AL_240,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_241,1041,64.48,0.516723,1.0,0.497537,0.0,0.0,1.0,1.0,-0.0659,17,0,"probability/score [0,1]"
AL_242,1041,64.48,0.498603,0.061389,0.499587,0.0,0.0,1.0,1.0,0.0051,6,0,"probability/score [0,1]"
AL_243,1041,64.48,0.011499,0.00013,0.044653,0.0,0.0,0.005094,0.900022,12.8156,1041,149,"probability/score [0,1]"
AL_244,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_245,1041,64.48,0.514046,1.0,0.497714,0.0,0.0,1.0,1.0,-0.0574,14,0,"probability/score [0,1]"
AL_246,1041,64.48,0.50048,1.0,0.50024,0.0,0.0,1.0,1.0,-0.0019,2,0,"probability/score [0,1]"
AL_247,1041,64.48,0.011295,0.000294,0.043741,0.0,1.8e-05,0.005823,0.899836,12.8213,1041,136,"probability/score [0,1]"
AL_248,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_249,1041,64.48,0.513808,1.0,0.499406,0.0,0.0,1.0,1.0,-0.0539,6,0,"probability/score [0,1]"
AL_250,991,66.19,0.554751,1.0,0.496341,0.0,0.0,1.0,1.0,-0.2203,6,0,"probability/score [0,1]"
AL_251,991,66.19,0.014391,0.000708,0.057124,9e-06,7.9e-05,0.007031,0.9,9.5037,991,113,"probability/score [0,1]"
AL_252,991,66.19,0.998991,1.0,0.031766,0.0,1.0,1.0,1.0,-31.4802,2,1,"probability/score [0,1]"
AL_253,991,66.19,0.496468,0.0,0.50024,0.0,0.0,1.0,1.0,0.0141,2,0,"probability/score [0,1]"
AL_254,1041,64.48,0.511541,1.0,0.499087,0.0,0.0,1.0,1.0,-0.0457,8,0,"probability/score [0,1]"
AL_255,1041,64.48,0.01129,0.000165,0.043615,0.0,3e-06,0.005371,0.900303,11.9852,1041,140,"probability/score [0,1]"
AL_256,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_257,1041,64.48,0.485775,0.0,0.4991,0.0,0.0,1.0,1.0,0.0568,12,0,"probability/score [0,1]"
AL_258,1041,64.48,0.489914,0.0,0.500139,0.0,0.0,1.0,1.0,0.0404,2,0,"probability/score [0,1]"
AL_259,1041,64.48,0.534102,1.0,0.499075,0.0,0.0,1.0,1.0,-0.1369,2,0,"probability/score [0,1]"
AL_260,1041,64.48,0.010292,0.000281,0.041926,0.0,2.3e-05,0.004796,0.896373,13.1901,1041,124,"probability/score [0,1]"
AL_261,1041,64.48,0.502566,1.0,0.499451,0.0,0.0,1.0,1.0,-0.0098,8,0,"probability/score [0,1]"
AL_262,1041,64.48,0.013162,0.000333,0.045951,0.0,3e-06,0.006955,0.856351,10.7662,1041,150,"probability/score [0,1]"
AL_263,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_264,1041,64.48,0.488674,0.0,0.498674,0.0,0.0,1.0,1.0,0.0459,10,0,"probability/score [0,1]"
AL_265,1041,64.48,0.546549,1.0,0.497311,0.0,0.0,1.0,1.0,-0.1882,7,0,"probability/score [0,1]"
AL_266,1041,64.48,0.00876,0.000178,0.039916,0.0,3e-06,0.003983,0.898012,15.6918,1041,132,"probability/score [0,1]"
AL_267,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_268,1041,64.48,0.52242,1.0,0.498216,0.0,0.0,1.0,1.0,-0.089,12,0,"probability/score [0,1]"
AL_269,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_270,1041,64.48,0.527986,1.0,0.498198,0.0,0.0,1.0,1.0,-0.1126,11,0,"probability/score [0,1]"
AL_271,1041,64.48,0.012275,0.000271,0.045243,0.0,0.0,0.006913,0.987412,13.4343,1041,130,"probability/score [0,1]"
AL_272,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_273,1041,64.48,0.462422,0.0,0.492479,0.0,0.0,1.0,1.0,0.1521,43,0,"probability/score [0,1]"
AL_274,1041,64.48,0.555868,1.0,0.496459,0.0,0.0,1.0,1.0,-0.2258,6,0,"probability/score [0,1]"
AL_275,1040,64.52,0.010621,0.000138,0.04311,0.0,0.0,0.004294,0.899797,13.3747,1040,164,"probability/score [0,1]"
AL_276,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_277,1041,64.48,0.492864,0.09048,0.496995,0.0,0.0,1.0,1.0,0.0292,19,0,"probability/score [0,1]"
AL_278,1041,64.48,0.539379,1.0,0.498305,0.0,0.0,1.0,1.0,-0.1591,5,0,"probability/score [0,1]"
AL_279,1041,64.48,0.011637,0.000235,0.043697,0.0,0.0,0.005682,0.900001,12.7664,1041,141,"probability/score [0,1]"
AL_280,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_281,1041,64.48,0.497051,0.179357,0.498681,0.0,0.0,1.0,1.0,0.0123,13,0,"probability/score [0,1]"
AL_282,1041,64.48,0.543708,1.0,0.498325,0.0,0.0,1.0,1.0,-0.1758,2,0,"probability/score [0,1]"
AL_283,1041,64.48,0.011533,0.000255,0.04352,0.0,2e-05,0.005678,0.899833,12.8505,1041,144,"probability/score [0,1]"
AL_284,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_285,1041,64.48,0.512553,1.0,0.499847,0.0,0.0,1.0,1.0,-0.0504,3,0,"probability/score [0,1]"
AL_286,979,66.6,0.556769,1.0,0.496717,0.0,0.0,1.0,1.0,-0.2289,4,0,"probability/score [0,1]"
AL_287,979,66.6,0.014687,0.000745,0.057168,1e-05,7.1e-05,0.006883,0.914701,9.611,978,128,"probability/score [0,1]"
AL_288,979,66.6,0.997957,1.0,0.045175,0.0,1.0,1.0,1.0,-22.0907,2,2,"probability/score [0,1]"
AL_289,979,66.6,0.495959,0.0,0.499412,0.0,0.0,1.0,1.0,0.0167,6,0,"probability/score [0,1]"
AL_290,1041,64.48,0.513156,1.0,0.499534,0.0,0.0,1.0,1.0,-0.0536,5,0,"probability/score [0,1]"
AL_291,1041,64.48,0.011842,0.000243,0.043365,0.0,7e-06,0.007046,0.9,12.2848,1041,127,"probability/score [0,1]"
AL_292,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_293,1041,64.48,0.514885,1.0,0.498623,0.0,0.0,1.0,1.0,-0.0604,9,0,"probability/score [0,1]"
AL_294,1041,64.48,0.507453,1.0,0.5,0.0,0.0,1.0,1.0,-0.0295,3,0,"probability/score [0,1]"
AL_295,1632,44.32,0.512255,1.0,0.500003,0.0,0.0,1.0,1.0,-0.0491,2,0,"probability/score [0,1]"
AL_296,1632,44.32,0.009572,0.000226,0.03562,1e-06,1e-05,0.005243,0.902495,14.7206,1632,199,"probability/score [0,1]"
AL_297,1632,44.32,0.537806,1.0,0.498342,0.0,0.0,1.0,1.0,-0.1515,7,0,"probability/score [0,1]"
AL_298,1632,44.32,0.011238,0.000323,0.03832,0.0,7e-06,0.006504,0.858818,12.1257,1632,212,"probability/score [0,1]"
AL_299,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_300,1632,44.32,0.504015,1.0,0.499778,0.0,0.0,1.0,1.0,-0.0165,7,0,"probability/score [0,1]"
AL_301,1632,44.32,0.464313,0.0224,0.486211,0.0,0.0,1.0,1.0,0.1409,128,0,"probability/score [0,1]"
AL_302,1632,44.32,0.010999,0.00013,0.037284,0.0,0.0,0.005983,0.900002,12.9279,1632,230,"probability/score [0,1]"
AL_303,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_304,1632,44.32,0.373658,0.007324,0.438975,0.0,0.0,0.985574,1.0,0.5115,425,0,"probability/score [0,1]"
AL_305,1632,44.32,0.496324,0.0,0.50014,0.0,0.0,1.0,1.0,0.0147,2,0,"probability/score [0,1]"
AL_306,1632,44.32,0.008364,0.000145,0.033695,0.0,2e-06,0.003806,0.905678,17.1043,1632,230,"probability/score [0,1]"
AL_307,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_308,1632,44.32,0.517892,1.0,0.499424,0.0,0.0,1.0,1.0,-0.0721,7,0,"probability/score [0,1]"
AL_309,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_310,1632,44.32,0.50727,1.0,0.49917,0.0,0.0,1.0,1.0,-0.0292,11,0,"probability/score [0,1]"
AL_311,1632,44.32,0.010275,0.000163,0.035995,0.0,0.0,0.005557,0.900154,14.1737,1632,220,"probability/score [0,1]"
AL_312,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_313,1632,44.32,0.501277,0.731125,0.499076,0.0,0.0,1.0,1.0,-0.0056,13,0,"probability/score [0,1]"
AL_314,1632,44.32,0.518294,1.0,0.49948,0.0,0.0,1.0,1.0,-0.0734,5,0,"probability/score [0,1]"
AL_315,1632,44.32,0.010592,0.000144,0.037645,0.0,1e-06,0.004981,0.899879,14.0616,1632,241,"probability/score [0,1]"
AL_316,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_317,1632,44.32,0.500611,0.538186,0.498892,0.0,0.0,1.0,1.0,-0.0024,13,0,"probability/score [0,1]"
AL_318,1632,44.32,0.498866,0.0,0.500074,0.0,0.0,1.0,1.0,0.0048,3,0,"probability/score [0,1]"
AL_319,1632,44.32,0.010996,0.000127,0.038205,0.0,0.0,0.004906,0.90017,13.087,1632,250,"probability/score [0,1]"
AL_320,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_321,1632,44.32,0.479203,0.0,0.498664,0.0,0.0,1.0,1.0,0.0834,10,0,"probability/score [0,1]"
AL_322,1632,44.32,0.510417,1.0,0.500045,0.0,0.0,1.0,1.0,-0.0417,2,0,"probability/score [0,1]"
AL_323,1632,44.32,0.010559,0.00024,0.036803,0.0,9e-06,0.006349,0.901643,14.0876,1632,198,"probability/score [0,1]"
AL_324,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_325,1632,44.32,0.493873,0.0,0.500116,0.0,0.0,1.0,1.0,0.0245,2,0,"probability/score [0,1]"
AL_326,1632,44.32,0.521446,1.0,0.499693,0.0,0.0,1.0,1.0,-0.0859,2,0,"probability/score [0,1]"
AL_327,1632,44.32,0.012024,0.000479,0.046882,0.0,3.4e-05,0.006268,0.902796,11.1577,1632,212,"probability/score [0,1]"
AL_328,1632,44.32,0.915441,1.0,0.278309,0.0,1.0,1.0,1.0,-2.9891,2,138,"probability/score [0,1]"
AL_329,1632,44.32,0.506663,1.0,0.499901,0.0,0.0,1.0,1.0,-0.0267,4,0,"probability/score [0,1]"
AL_330,1632,44.32,0.518256,1.0,0.499575,0.0,0.0,1.0,1.0,-0.0734,6,0,"probability/score [0,1]"
AL_331,1632,44.32,0.00931,0.000119,0.035127,0.0,2e-06,0.004841,0.899931,14.4508,1632,221,"probability/score [0,1]"
AL_332,1632,44.32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_333,1632,44.32,0.506901,1.0,0.499414,0.0,0.0,1.0,1.0,-0.0271,9,0,"probability/score [0,1]"
AL_334,1632,44.32,0.501838,1.0,0.50015,0.0,0.0,1.0,1.0,-0.0074,2,0,"probability/score [0,1]"
EK_1,2572,12.25,5.263376,5.365225,0.594258,0.855571,4.976362,5.676056,6.17,-1.4781,2541,12,numeric
EK_2,2572,12.25,4.464253,5.098377,2.127251,-11.9,4.29394,5.590924,6.17,-3.2487,2483,142,numeric
EK_3,1601,45.38,3.046202,3.691725,2.505199,-11.368883,2.603334,4.441446,7.010418,-2.2528,1601,60,numeric
EK_4,2572,12.25,0.896647,0.991925,0.265615,0.0,0.962463,1.0,1.0,-2.8115,1424,284,"probability/score [0,1]"
EK_5,2572,12.25,0.805125,0.960908,0.305456,0.0,0.770834,0.997708,1.0,-1.6067,1940,178,"probability/score [0,1]"
EK_6,2572,12.25,0.905764,0.9945,0.259208,0.0,0.967497,1.0,1.0,-3.0045,1374,241,"probability/score [0,1]"
EK_7,2572,12.25,5.944229,7.100062,3.172589,-3.321952,3.433631,8.418471,10.003,-0.5997,2470,0,numeric
EK_8,2572,12.25,0.559148,0.639698,0.34474,-5.716,0.579527,0.692865,0.756,-6.5797,2383,216,numeric
EK_9,2324,20.71,7.482126,7.853836,3.90584,-20.0,5.810131,11.039886,11.934,-1.2868,2163,4,numeric
